reportyear,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,mode,mode_name,pop_mode,pop_total,percent
2000,AfricanAm,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,ATHOME,Worked at home,0,26,0.0
2000,Latino,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,ATHOME,Worked at home,26,771,3.37224383916991
2000,NHOPI,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,ATHOME,Worked at home,NA,NA,NA
2000,White,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,ATHOME,Worked at home,664,12062,5.50489139446195
2000,Multiple,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,ATHOME,Worked at home,4,269,1.48698884758364
2000,Other,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,ATHOME,Worked at home,NA,NA,NA
2000,AIAN,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,BICYCLE,Bicycle,0,154,0.0
2000,Asian,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,BICYCLE,Bicycle,0,71,0.0
2000,AfricanAm,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,BICYCLE,Bicycle,0,26,0.0
2000,Latino,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,BICYCLE,Bicycle,0,771,0.0
2000,NHOPI,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,BICYCLE,Bicycle,NA,NA,NA
2000,White,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,BICYCLE,Bicycle,29,12062,0.240424473553308
2000,Multiple,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,BICYCLE,Bicycle,0,269,0.0
2000,Other,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,BICYCLE,Bicycle,NA,NA,NA
2000,AIAN,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",98,154,63.6363636363636
2000,Asian,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",42,71,59.1549295774648
2000,AfricanAm,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",22,26,84.6153846153846
2000,Latino,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",547,771,70.94682230869
2000,NHOPI,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",NA,NA,NA
2000,White,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",9334,12062,77.383518487813
2000,Multiple,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",229,269,85.1301115241636
2000,Other,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CAR,"Car, Truck, or Van: Drove Alone",NA,NA,NA
2000,AIAN,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",34,154,22.0779220779221
2000,Asian,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",19,71,26.7605633802817
2000,AfricanAm,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",0,26,0.0
